pclass,survived,sex,age,sibsp,parch
1st,survived,m,32,1,0
1st,survived,m,38,2,0
1st,survived,m,43,1,0
2nd,died,m,52,2,0
2nd,died,m,43,1,0
3rd,died,m,26,2,0
1st,survived,f,34,1,0
2nd,survived,f,52,2,0
3rd,died,f,43,1,1
3rd,died,f,44,2,0
1st,died,f,45,2,0
1st,died,m,45,2,0
1st,died,m,46,2,0
2nd,survived,m,47,2,0
2nd,survived,m,48,2,1
3rd,survived,m,48,2,1
1st,survived,m,49,2,1
2nd,survived,f,50,2,1
3rd,survived,f,50,2,1
3rd,survived,f,51,2,1
1st,survived,f,52,2,1
1st,died,f,53,2,0
1st,died,m,53,2,1
2nd,died,m,54,2,1
2nd,died,m,55,2,1
3rd,died,m,55,2,1
1st,died,m,56,2,1
2nd,died,m,57,2,1
3rd,died,f,58,2,1
3rd,died,f,58,2,0
1st,died,f,59,2,0
1st,dd,f,60,2,0
1st,survived,m,60,2,0
2nd,survived,m,61,2,0
2nd,survived,m,62,2,0
3rd,survived,m,63,2,0
1st,survived,f,63,2,0
2nd,survived,f,64,2,0
3rd,survived,f,65,3,1
3rd,survived,f,65,3,1
1st,survived,m,66,3,1
1st,died,m,67,3,1
1st,died,m,68,3,1
2nd,died,m,68,3,1
2nd,died,f,69,3,1
3rd,died,f,70,3,1
1st,died,f,70,3,1
2nd,died,f,71,3,1
3rd,survived,m,72,3,1
3rd,died,m,73,3,1
1st,survived,m,73,3,1
1st,died,m,74,3,1
1st,died,f,75,3,1
2nd,died,f,75,3,1
2nd,died,f,76,3,1
3rd,died,f,77,3,1
1st,died,m,78,3,0
2nd,died,m,78,3,0
3rd,died,m,79,3,0
3rd,died,m,80,3,0
